source_id,parallax (mas),parallax_error (mas),pf (days),pf_error (days),int_average_g (mag),int_average_g_error (mag),absolute magnitude / mag,luminosity/watts
508592954709039000,0.166035457,0.03,2.01,2.15E-05,15.89,0.00,1.988118215,1.86388E+29
508915489570374000,0.30468914,0.02,14.78890116,0.00,8.80,0.00,-3.784786126,9.38184E+26
2062437424336330000,0.09,0.06,3.355194495,8.85E-05,17.30,0.00,1.992827839,1.87195E+29
5334575782303770000,0.04,0.03,8.635740336,0.00,15.63,0.00,-1.517576239,7.49617E+27
5334598494092780000,0.07,0.01,11.57970884,0.00,13.13,0.01,-2.794730324,2.32498E+27
5334601998787400000,0.03,0.08,4.502523158,3.35E-04,17.56,0.00,-0.080431237,2.79867E+28
5334606293754310000,0.00,0.05,4.991369274,2.85E-04,16.31,0.00,-5.246732647,2.45642E+26
5334631376367030000,0.12,0.02,6.575160661,2.30E-04,13.57,0.00,-1.108290074,1.09087E+28
5334675185024180000,0.160358236,0.02,26.45729548,0.01,11.86,0.01,-2.114260653,4.33816E+27
5951683791503840000,0.189257872,0.03,8.031827557,0.00,14.90,0.00,1.281094768,9.749E+28
4043559293736440000,0.09,0.03,10.33695001,0.00,14.83,0.00,-0.300812413,2.28676E+28
4043573278156380000,0.026214109,0.02,74.46319998,0.07,13.45,0.01,-4.455553522,5.07297E+26
4043609695124060000,0.177980222,0.11,1.889188739,1.07E-04,17.07,0.01,3.325493716,6.35058E+29
4043612169025740000,0.059467214,0.04,9.751990988,9.94E-04,15.20,0.01,-0.92654752,1.28861E+28
4043630693300920000,0.060195379,0.03,11.16058082,0.00,14.99,0.01,-1.10991924,1.08924E+28
4043651584030270000,0.152878907,0.03,83.69666546,0.78,13.82,0.02,-0.25962315,2.37475E+28
5933359884804770000,0.237225969,0.02,15.37806614,0.00,12.09,0.00,-1.031807357,1.17009E+28
4160953188153640000,0.58,0.02,0.854864979,1.49E-05,13.07,0.00,1.878849082,1.68624E+29
4077691914275720000,0.030673322,0.04,3.535058157,4.30E-04,15.48,0.01,-2.081277929,4.47132E+27
4077746232628580000,0.12057368,0.02,29.61147308,0.04,12.39,0.04,-2.204785417,3.99272E+27
4396509638666470000,0.06,0.04,1.17989132,3.33E-05,15.16,0.02,-0.875531702,1.3503E+28
5308026081150230000,0.19,0.02,3.435153356,7.38E-05,14.82,0.00,1.168068179,8.78953E+28
5308083461913820000,0.105646296,0.02,4.204416373,2.10E-04,14.86,0.00,-0.018077633,2.96329E+28
5308104146478020000,0.09,0.02,5.180188761,1.39E-04,14.42,0.00,-0.760576762,1.50035E+28
5308137406706270000,0.155481166,0.04,8.024223184,0.00,13.33,0.01,-0.710166062,1.57131E+28
5308216021795770000,0.148604223,0.01,4.610603445,7.99E-05,13.40,0.00,-0.735992245,1.53455E+28
5308459529249780000,0.128048752,0.03,3.871712982,1.12E-04,15.76,0.00,1.295123756,9.87518E+28
5511121271942890000,0.553208739,0.01,1.437759944,9.32E-06,11.17,0.00,-0.115834841,2.7093E+28
5512785726389830000,0.012438056,0.05,1.696450972,1.94E-05,16.79,0.00,-2.731679533,2.46331E+27
